HS,URAIAN,2020,2021,2022,2023,2024,Trend (%)  2020 -  2024,Perub (%)  2024 -  2023,Peran (%)  2024,Jan-Mei,Jan-Mei,Perub (%)  2025/  2024,Peran (%)  2025
HS,URAIAN,2020,2021,2022,2023,2024,Trend (%)  2020 -  2024,Perub (%)  2024 -  2023,Peran (%)  2024,2024,2025,Perub (%)  2025/  2024,Peran (%)  2025
,NON MIGAS,154940.8,219362.1,275906.1,243605.9,250652.3,11.26,2.89,100.0,98004.7,106059.4,8.22,100.0
27.0,"Bahan bakar mineral, minyak mineral dan produk sulingannya",17255.1,32831.2,54998.7,43572.0,39651.8,21.5,-9.0,15.82,16206.5,13146.7,-18.88,12.4
15.0,"Lemak dan minyak hewani, nabati atau mikroba serta produk disosiasinya",20716.4,32919.1,35159.5,28451.8,26857.6,3.8,-5.6,10.72,9440.0,12564.1,33.09,11.85
72.0,Besi dan baja,10861.6,20925.6,27800.4,26704.6,25801.5,21.83,-3.38,10.29,10459.5,11611.9,11.02,10.95
85.0,Mesin dan perlengkapan elektrik serta bagiannya,9232.8,11776.1,14548.2,14352.4,15165.9,12.64,5.67,6.05,5860.9,7651.1,30.54,7.21
87.0,"Kendaraan selain yang bergerak di atas rel kereta api atau trem, dan bagian serta aksesorinya",6602.5,8636.1,10973.6,11152.7,11011.2,13.64,-1.27,4.39,4233.7,4696.8,10.94,4.43
71.0,"Mutiara alam atau mutiara budidaya, batu mulia atau batu semi mulia,logam mulia, logam yang dipalut dengan logam mulia, dan barang daripadanya",8222.5,5417.7,6301.4,7505.5,8878.8,4.91,18.3,3.54,4240.0,4235.4,-0.11,3.99
26.0,"Bijih logam, terak dan abu",3235.1,6351.1,10298.5,8720.4,8227.3,24.41,-5.65,3.28,4298.0,2016.8,-53.08,1.9
75.0,Nikel dan barang daripadanya,808.4,1284.5,5940.2,6815.6,7997.4,86.87,17.34,3.19,2904.7,3365.5,15.86,3.17
64.0,"Alas kaki, pelindung kaki dan sejenisnya",4804.5,6186.3,7737.5,6436.4,7281.3,9.1,13.13,2.9,2741.8,3116.7,13.67,2.94
84.0,"Reaktor nuklir, ketel, mesin dan peralatan mekanis",5204.4,6307.6,6943.8,6458.6,6945.0,6.19,7.53,2.77,2582.7,3063.4,18.61,2.89
38.0,Aneka produk kimia,3796.0,6899.7,8523.1,6252.7,6523.5,10.35,4.33,2.6,2452.3,3667.1,49.54,3.46
40.0,Karet dan barang daripadanya,5618.8,7116.0,6395.4,5097.0,5508.4,-3.66,8.07,2.2,2083.9,2570.5,23.35,2.42
48.0,Kertas dan kertas karton,4192.6,4220.0,4788.9,4794.3,4449.2,2.49,-7.2,1.78,1785.6,1882.6,5.43,1.78
62.0,"Pakaian dan aksesori pakaian, bukan rajutan atau kaitan",3633.8,4111.8,4877.6,4219.1,4284.7,3.62,1.55,1.71,1721.0,1731.8,0.63,1.63
61.0,"Pakaian dan aksesori pakaian, barang rajutan atau kaitan",3350.1,4392.8,4647.9,3828.0,4139.6,2.9,8.14,1.65,1473.6,1650.2,11.98,1.56
3.0,"Ikan dan krustasea, moluska serta invertebrata air lainnya",3513.1,3707.4,4009.1,3618.9,3995.6,2.36,10.41,1.59,1505.9,1691.8,12.34,1.6
44.0,Kayu dan barang dari kayu,3789.8,4925.2,4654.8,3984.8,3975.2,-1.16,-0.24,1.59,1567.6,1579.3,0.75,1.49
74.0,Tembaga dan barang daripadanya,1894.8,3049.8,2788.8,2290.2,3730.0,11.27,62.87,1.49,1406.8,1524.3,8.35,1.44
47.0,Pulp dari kayu atau dari bahan selulosa berserat lainnya,2536.0,3284.8,3699.2,3490.5,3564.8,7.7,2.13,1.42,1300.2,1455.6,11.96,1.37
28.0,Bahan kimia anorganik,863.1,1530.1,2758.3,2740.8,3497.5,40.23,27.61,1.4,1297.6,1866.8,43.87,1.76
29.0,Bahan Kimia Organik,2367.3,3697.2,4083.4,2981.8,3496.5,5.81,17.26,1.39,1295.4,1650.6,27.41,1.56
73.0,Barang dari besi dan baja,1191.3,1603.3,1755.9,1703.3,3425.5,24.27,101.11,1.37,1320.4,835.5,-36.72,0.79
39.0,Plastik dan barang daripadanya,2601.8,2892.6,2911.9,2789.2,2789.7,1.04,0.02,1.11,1147.5,1117.2,-2.64,1.05
9.0,"Kopi, teh, mate dan rempah-rempah",1719.8,1711.9,1873.3,1611.9,2695.8,8.75,67.25,1.08,699.6,1343.9,92.1,1.27
18.0,Kakao dan olahan kakao,1244.2,1206.8,1259.7,1197.7,2646.2,16.2,120.94,1.06,664.9,1613.0,142.61,1.52
94.0,Perabotan,2287.5,3018.3,2935.6,2286.8,2436.6,-1.5,6.55,0.97,936.4,1027.1,9.68,0.97
24.0,Tembakau dan pengganti tembakau dipabrikasi,1150.6,1147.5,1488.7,1747.8,2081.6,17.43,19.1,0.83,885.4,949.1,7.19,0.89
23.0,Residu dan sisa dari industri makanan,983.4,1588.8,2590.6,2625.5,2021.5,21.45,-23.0,0.81,877.3,390.9,-55.45,0.37
55.0,Serat stapel buatan,1572.4,2257.4,2096.0,1799.9,1880.5,1.32,4.48,0.75,766.5,691.0,-9.86,0.65
21.0,Bermacam-macam olahan yang dapat dimakan,1274.1,1460.2,1584.4,1624.7,1755.7,7.77,8.07,0.7,663.1,769.0,15.96,0.73
19.0,"Olahan dari serealia, tepung, pati atau susu",1150.0,1255.4,1426.1,1495.0,1633.5,9.16,9.26,0.65,596.8,632.0,5.9,0.6
80.0,Timah dan barang daripadanya,1130.1,2441.8,2386.2,1783.6,1434.6,1.64,-19.57,0.57,308.2,684.9,122.26,0.65
