COUNTRY,2020,2021,2022,2023,2024,Trend (%) 2020 -  2024,Perub (%) 2024 -  2023,Peran (%) 2024,Jan-Mei,Jan-Mei.1,Perub (%) 2025/  2024,Peran (%) 2025
REPUBLIC OF CHINA,29936.4,51088.9,63461.7,62431.6,60520.8,17.45,-3.06,24.15,22377.6,24253.1,8.38,22.87
UNITED STATES,18622.4,25792.8,28182.7,23255.7,26538.2,6.24,14.11,10.59,10246.3,12112,18.21,11.42
INDIA,10179,13112.6,23285.7,20288,20369.3,20.01,0.4,8.13,8851.3,7283.2,-17.72,6.87
JAPAN,12885.3,16894.3,23199.4,18885.9,18594.6,8.82,-1.54,7.42,7815.1,5849.3,-25.15,5.52
MALAYSIA,6970.2,10634.6,13574.2,10641.4,10803.9,9.17,1.53,4.31,4282.4,4946.3,15.5,4.66
PHILIPPINES,5858.5,8601.9,12900.9,11036.7,10642.4,15.52,-3.57,4.25,4141.1,4247.7,2.57,4.01
VIETNAM,4927.2,6740.3,8445.8,7490.9,9391.1,14.98,25.37,3.75,3401.2,4446,30.72,4.19
SOUTH KOREA,5609.5,7958,10651.9,8604.4,9126.1,11.09,6.06,3.64,3804.9,3577.5,-5.97,3.37
SINGAPORE,8533.3,8083.3,9730,8348.5,7514.6,-2.2,-9.99,3,2836,3696.8,30.35,3.49
TAIWAN,3726.4,6360.7,7854.2,6406.3,6133.5,10.56,-4.26,2.45,2420.5,2246,-7.21,2.12
THAILAND,4543.3,5872.4,6872.3,5602.8,5731.9,4.27,2.3,2.29,2255.9,3368.4,49.31,3.18
AUSTRALIA,2415.4,2995.9,3222.7,3022.2,4864.8,15.13,60.97,1.94,1896.9,1493.5,-21.27,1.41
NETHERLANDS,3057.5,4531.4,5250.9,3768.7,4621.5,6.63,22.63,1.84,1807.1,2119.4,17.28,2
PAKISTAN,2374.4,3829.5,4323.2,2872.6,3445.9,4.68,19.96,1.37,1166.8,1434.6,22.96,1.35
UNITED ARAB EMIRATES,1240.1,1866.2,2294.9,2646.5,3061.5,24.07,15.68,1.22,1149.7,1362.3,18.5,1.28
BANGLADESH,1684.1,2898.8,3673.4,3224,2984,13.32,-7.44,1.19,1127.3,1575.6,39.77,1.49
HONG KONG,2018.7,2008.7,2803.9,2640.2,2622.6,8.29,-0.67,1.05,1148.9,898.6,-21.79,0.85
SAUDI ARABIA,1338.8,1583.4,2018.4,2078.6,2575.1,17.12,23.89,1.03,915,1485.1,62.31,1.4
GERMANY,2456.3,2914.6,3206.1,2523.3,2394.1,-1.94,-5.12,0.96,941.5,1069,13.54,1.01
ITALY,1746.2,2805.7,3128,2098.3,2251.7,2.2,7.31,0.9,959.6,1175.9,22.53,1.11
MEXICO,861.5,1262.1,1589.9,2084.8,2236.1,27.24,7.26,0.89,893,945.3,5.86,0.89
